timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653294313122,13360,Home page,200,,User threads 1-134,text,true,,3364,116,500,500,http://localhost:8080/,13360,0,1
1653294314369,12414,Home page,200,,User threads 1-194,text,true,,3364,116,500,500,http://localhost:8080/,12413,0,0
1653294310893,16081,Home page,200,,User threads 1-30,text,true,,3364,116,500,500,http://localhost:8080/,16080,0,1
1653294310325,16856,Home page,200,,User threads 1-5,text,true,,3364,116,500,500,http://localhost:8080/,16856,0,17
1653294312856,14416,Home page,200,,User threads 1-121,text,true,,3364,116,500,500,http://localhost:8080/,14415,0,1
1653294312935,14338,Home page,200,,User threads 1-125,text,true,,3364,116,500,500,http://localhost:8080/,14338,0,1
1653294310983,16389,Home page,200,,User threads 1-34,text,true,,3364,116,500,500,http://localhost:8080/,16389,0,1
1653294311004,16370,Home page,200,,User threads 1-35,text,true,,3364,116,500,500,http://localhost:8080/,16171,0,1
1653294310785,16686,Home page,200,,User threads 1-25,text,true,,3364,116,500,500,http://localhost:8080/,16289,0,0
1653294312543,15031,Home page,200,,User threads 1-106,text,true,,3364,116,500,500,http://localhost:8080/,14435,0,1
1653294311936,15647,Home page,200,,User threads 1-78,text,true,,3364,116,500,500,http://localhost:8080/,15647,0,1
1653294312980,14607,Home page,200,,User threads 1-127,text,true,,3364,116,500,500,http://localhost:8080/,14199,0,1
1653294313143,14534,Home page,200,,User threads 1-135,text,true,,3364,116,500,500,http://localhost:8080/,14335,0,1
1653294312178,15500,Home page,200,,User threads 1-89,text,true,,3364,116,500,500,http://localhost:8080/,15200,0,1
1653294312442,15431,Home page,200,,User threads 1-101,text,true,,3364,116,500,500,http://localhost:8080/,15430,0,0
1653294320094,8279,CSS,200,,User threads 1-19,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,8182,0,0
1653294326477,2493,CSS,200,,User threads 1-24,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,2404,0,0
